keyword,202304,tot_cnt
sustainability,36,36
energy,4,4
tx,1,1
month,1,1
ams,1,1
students,2,2
virtual,2,2
donation,1,1
wellman,1,1
susan,1,1
skateboards,1,1
rating,3,3
testament,3,3
sustainability texas,1,1
sustainable,11,11
itv,1,1
efficiencies,4,4
co2e,1,1
bin,1,1
electricity,3,3
impact,1,1
sectors,10,10
magazine,1,1
sit,1,1
directive,3,3
celebrates,1,1
netzero,1,1
spreadsheets,1,1
bbcs emissions,1,1
cfo,1,1
csosustainability,1,1
experiential,2,2
yang,2,2
entire,1,1
requirements,10,10
hr,1,1
shares,3,3
symantec,1,1
agrees,1,1
measurable,1,1
autodesk,1,1
severn,1,1
ceo sustainability,1,1
emissions,6,6
aipowered,1,1
office,2,2
gpu,1,1
deployment,1,1
providers,3,3
circuits,1,1
secondlife,1,1
carbonneutral,4,4
kitemark,1,1
practice,4,4
average,7,7
obsolescence technological,1,1
clevelandcliffs,1,1
mining,1,1
ghg,2,2
clf,1,1
tonnages,1,1
stainless,1,1
ratings,1,1
businesswire,1,1
pelletizing,1,1
platforms,3,3
printable,1,1
operator,2,2
clevelandcliffs sustainability,1,1
techcrunch,1,1
toll,1,1
extreme,2,2
panels,1,1
san,2,2
planet,1,1
reductions,1,1
startups,3,3
beverages,1,1
weather,3,3
worth,5,5
sustainable tech,1,1
wildlife,2,2
jeffrey,1,1
university,1,1
christopher,1,1
leaders,1,1
april,5,5
plan,3,3
comprehensive,2,2
demonstrated,1,1
alignment,1,1
krape,1,1
sustainability institution,1,1
cookies,6,6
ads,1,1
technologies,1,1
policy,5,5
consent,1,1
content,2,2
experience,1,1
choosing,1,1
terms,6,6
analyze,1,1
best,2,2
improve,1,1
use cookies,2,2
icsr,1,1
coso,1,1
regulators,1,1
esgsustainability,1,1
mandatory,1,1
external,2,2
deterrence,1,1
treadway,1,1
stages,4,4
months,3,3
tax,6,6
simplify,2,2
sustainability reporting,1,1
reifs,1,1
investment,14,14
cre,1,1
macroprudential,1,1
luxembourg,1,1
stability,5,5
pressures,4,4
coronavirus,1,1
lefthand,1,1
likelihood,1,1
stigma,1,1
osullivan,1,1
december,1,1
reifs euro,1,1
gentherm,1,1
advantages,1,1
pneumatic,1,1
thrm,1,1
ceo,9,9
weve,1,1
metrics,2,2
temperature,2,2
proud,1,1
hungary,1,1
enable,12,12
gentherms technologies,1,1
produce,1,1
leaf,1,1
certification,2,2
